,Court,Last Hearing Date,Court ID
0,Accomack,03/12/2020,001C
1,Accomack,10/29/2020,001C
2,Accomack,12/10/2020,001C
4,Accomack,11/12/2020,001C
6,Accomack,10/08/2020,001C
7,Accomack,12/17/2020,001C
20,Accomack,06/25/2020,001C
21,Accomack,09/10/2020,001C
25,Accomack,01/09/2020,001C
27,Accomack,07/09/2020,001C
28,Accomack,11/05/2020,001C
36,Accomack,05/07/2020,001C
47,Accomack,10/15/2020,001C
58,Accomack,08/27/2020,001C
59,Accomack,07/02/2020,001C
60,Accomack,05/28/2020,001C
68,Accomack,12/07/2020,001C
69,Accomack,02/06/2020,001C
70,Accomack,06/11/2020,001C
72,Accomack,06/04/2020,001C
73,Accomack,08/06/2020,001C
74,Accomack,01/16/2020,001C
75,Accomack,07/16/2020,001C
78,Accomack,02/20/2020,001C
94,Accomack,06/18/2020,001C
97,Accomack,06/01/2020,001C
100,Accomack,01/30/2020,001C
105,Accomack,02/13/2020,001C
109,Accomack,04/09/2020,001C
117,Accomack,03/26/2020,001C
135,Accomack,08/20/2020,001C
158,Accomack,08/03/2020,001C
162,Accomack,02/03/2020,001C
177,Accomack,07/23/2020,001C
178,Accomack,10/01/2020,001C
192,Accomack,10/05/2020,001C
193,Accomack,07/30/2020,001C
201,Accomack,05/21/2020,001C
210,Accomack,08/13/2020,001C
222,Accomack,09/01/2020,001C
225,Accomack,09/21/2020,001C
238,Accomack,06/05/2020,001C
255,Accomack,09/17/2020,001C
280,Accomack,10/22/2020,001C
313,Accomack,03/05/2020,001C
315,Accomack,03/19/2020,001C
321,Accomack,12/03/2020,001C
336,Accomack,09/24/2020,001C
357,Albemarle,07/06/2020,003C
359,Albemarle,02/21/2020,003C
362,Albemarle,01/02/2020,003C
364,Albemarle,01/30/2020,003C
365,Albemarle,02/24/2020,003C
367,Albemarle,01/24/2020,003C
369,Albemarle,02/07/2020,003C
370,Albemarle,02/25/2020,003C
373,Albemarle,03/11/2020,003C
374,Albemarle,08/31/2020,003C
380,Albemarle,01/14/2020,003C
381,Albemarle,07/14/2020,003C
383,Albemarle,06/26/2020,003C
384,Albemarle,12/08/2020,003C
386,Albemarle,03/24/2020,003C
388,Albemarle,06/23/2020,003C
389,Albemarle,07/10/2020,003C
390,Albemarle,11/24/2020,003C
392,Albemarle,11/20/2020,003C
393,Albemarle,01/21/2020,003C
394,Albemarle,07/16/2020,003C
395,Albemarle,08/17/2020,003C
397,Albemarle,03/16/2020,003C
398,Albemarle,10/13/2020,003C
399,Albemarle,03/05/2020,003C
400,Albemarle,06/02/2020,003C
401,Albemarle,07/28/2020,003C
403,Albemarle,10/20/2020,003C
404,Albemarle,03/04/2020,003C
405,Albemarle,08/19/2020,003C
407,Albemarle,07/15/2020,003C
410,Albemarle,02/19/2020,003C
412,Albemarle,12/29/2020,003C
413,Albemarle,09/09/2020,003C
414,Albemarle,08/18/2020,003C
415,Albemarle,09/02/2020,003C
418,Albemarle,07/08/2020,003C
419,Albemarle,02/05/2020,003C
421,Albemarle,08/26/2020,003C
425,Albemarle,02/04/2020,003C
436,Albemarle,10/19/2020,003C
437,Albemarle,11/04/2020,003C
445,Albemarle,06/25/2020,003C
449,Albemarle,12/09/2020,003C
452,Albemarle,08/27/2020,003C
454,Albemarle,10/07/2020,003C
458,Albemarle,06/30/2020,003C
461,Albemarle,09/08/2020,003C
465,Albemarle,06/16/2020,003C
466,Albemarle,09/15/2020,003C
468,Albemarle,12/15/2020,003C
469,Albemarle,08/03/2020,003C
472,Albemarle,03/10/2020,003C
475,Albemarle,06/29/2020,003C
496,Albemarle,09/18/2020,003C
497,Albemarle,07/27/2020,003C
502,Albemarle,04/06/2020,003C
504,Albemarle,06/24/2020,003C
508,Albemarle,02/13/2020,003C
512,Albemarle,12/23/2020,003C
518,Albemarle,11/25/2020,003C
525,Albemarle,07/02/2020,003C
532,Albemarle,01/09/2020,003C
538,Albemarle,08/04/2020,003C
544,Albemarle,09/30/2020,003C
547,Albemarle,06/17/2020,003C
549,Albemarle,02/12/2020,003C
551,Albemarle,04/09/2020,003C
552,Albemarle,03/03/2020,003C
553,Albemarle,11/19/2020,003C
554,Albemarle,01/08/2020,003C
564,Albemarle,03/18/2020,003C
566,Albemarle,03/02/2020,003C
572,Albemarle,08/12/2020,003C
573,Albemarle,10/08/2020,003C
586,Albemarle,10/28/2020,003C
590,Albemarle,07/07/2020,003C
