Court Name,Court ID,URL,Court Code
Accomack,001C,Accomack,001
Albemarle,003C,Albemarle,003
Alleghany,005C,Alleghany,005
Amelia,007C,Amelia,007
Amherst,009C,Amherst,009
Appomattox,011C,Appomattox,011
Arlington,013C,Arlington,013
Augusta,015C,Augusta,015
Bath,017C,Bath,017
Bedford,019C,Bedford,019
Bland,021C,Bland,021
Botetourt,023C,Botetourt,023
Bristol,520C,Bristol,520
Brunswick,025C,Brunswick,025
Buchanan,027C,Buchanan,027
Buckingham,029C,Buckingham,029
Buena Vista,530C,Buena_Vista,530
Campbell,031C,Campbell,031
Caroline,033C,Caroline,033
Carroll,035C,Carroll,035
Charles City,036C,Charles_City,036
Charlotte,037C,Charlotte,037
Charlottesville,540C,Charlottesville,540
Chesapeake,550C,Chesapeake,550
Chesterfield,041C,Chesterfield,041
Clarke,043C,Clarke,043
Clifton Forge,560C,Clifton_Forge,560
Colonial Heights,570C,Colonial_Heights,570
Craig,045C,Craig,045
Culpeper,047C,Culpeper,047
Cumberland,049C,Cumberland,049
Danville,590C,Danville,590
Dickenson,051C,Dickenson,051
Dinwiddie,053C,Dinwiddie,053
Essex,057C,Essex,057
Fauquier,061C,Fauquier,061
Floyd,063C,Floyd,063
Fluvanna,065C,Fluvanna,065
Franklin,067C,Franklin,067
Frederick,069C,Frederick,069
Fredericksburg,630C,Fredericksburg,630
Giles,071C,Giles,071
Gloucester,073C,Gloucester,073
Goochland,075C,Goochland,075
Grayson,077C,Grayson,077
Greene,079C,Greene,079
Greensville,081C,Greensville,081
Halifax,083C,Halifax,083
Hampton,650C,Hampton,650
Hanover,085C,Hanover,085
Henrico,087C,Henrico,087
Henry,089C,Henry,089
Highland,091C,Highland,091
Hopewell,670C,Hopewell,670
Isle of Wight,093C,Isle_of_Wight,093
King and Queen,097C,King _and_Queen,097
King George,099C,King_George,099
King William,101C,King_William,101
Lancaster,103C,Lancaster,103
Lee,105C,Lee,105
Loudoun,107C,Loudoun,107
Louisa,109C,Louisa,109
Lunenburg,111C,Lunenburg,111
Lynchburg,680C,Lynchburg,680
Madison,113C,Madison,113
Martinsville,690C,Martinsville,690
Mathews,115C,Mathews,115
Mecklenburg,117C,Mecklenburg,117
Middlesex,119C,Middlesex,119
Montgomery,121C,Montgomery,121
Nelson,125C,Nelson,125
New Kent,127C,New_Kent,127
Newport News,700C,Newport_News,700
Norfolk,710C,Norfolk,710
Northampton,131C,Northampton,131
Northumberland,133C,Northumberland,133
Nottoway,135C,Nottoway,135
Orange,137C,Orange,137
Page,139C,Page,139
Patrick,141C,Patrick,141
Petersburg,730C,Petersburg,730
Pittsylvania,143C,Pittsylvania,143
Portsmouth,740C,Portsmouth,740
Powhatan,145C,Powhatan,145
Prince Edward,147C,Prince_Edward,147
Prince George,149C,Prince_George,149
Prince William,153C,Prince_William,153
Pulaski,155C,Pulaski,155
Radford,750C,Radford,750
Rappahannock,157C,Rappahannock,157
Richmond City,760C,Richmond_City,760
Richmond County,159C,Richmond_County,159
Roanoke City,770C,Roanoke_City,770
Roanoke County,161C,Roanoke_County,161
Rockbridge,163C,Rockbridge,163
Rockingham,165C,Rockingham,165
Russell,167C,Russell,167
Salem,775C,Salem,775
Scott,169C,Scott,169
Shenandoah,171C,Shenandoah,171
Smyth,173C,Smyth,173
Southampton,175C,Southampton,175
Spotsylvania,177C,Spotsylvania,177
Stafford,179C,Stafford,179
Staunton,790C,Staunton,790
Suffolk,800C,Suffolk,800
Surry,181C,Surry,181
Sussex,183C,Sussex,183
Tazewell,185C,Tazewell,185
Virginia Beach,810C,Virginia_Beach,810
Warren,187C,Warren,187
Washington,191C,Washington,191
Waynesboro,820C,Waynesboro,820
Westmoreland,193C,Westmoreland,193
Williamsburg/James City County,830C,Williamsburg~James_City_County,830
Winchester,840C,Winchester,840
Wise,195C,Wise,195
Wythe,197C,Wythe,197
York County/Poquoson,199C,York_County_Poquoson,199
