Judge Full Name,Year,Court Name,Judge
Colin R Gibb,2006,Giles,CRG
Brett L Geisler,2006,Giles,BLG
Ray Wilson Grubbs,2006,Giles,RWG
Josiah T Showalter ,2006,Giles,JTS
Robert M D Turk,2006,Giles,RMDT
William N Alexander ,2006,Franklin,WNA
David A Melesco,2006,Franklin,DAM
Joseph W Milam ,2006,Franklin,JWM
Charles J Strauss,2006,Franklin,CJS
Thomas  Warren,2006,Dinwiddie,TW
Pamela S Baskervill,2006,Dinwiddie,PSB
James F DAlton ,2006,Dinwiddie,JFD
Colin R Gibb,2007,Giles,CRG
Brett L Geisler,2007,Giles,BLG
Ray Wilson Grubbs,2007,Giles,RWG
Josiah T Showalter ,2007,Giles,JTS
Robert M D Turk,2007,Giles,RMDT
William N Alexander ,2007,Franklin,WNA
Charles J Strauss,2007,Franklin,CJS
David A Melesco,2007,Franklin,DAM
Joseph W Milam ,2007,Franklin,JWM
Thomas  Warren,2007,Dinwiddie,TW
Pamela S Baskervill,2007,Dinwiddie,PSB
James F DAlton ,2007,Dinwiddie,JFD
Colin R Gibb,2008,Giles,CRG
Josiah T Showalter ,2008,Giles,JTS
Brett L Geisler,2008,Giles,BLG
Ray Wilson Grubbs,2008,Giles,RWG
Robert M D Turk,2008,Giles,RMDT
William N Alexander ,2008,Franklin,WNA
Charles J Strauss,2008,Franklin,CJS
David A Melesco,2008,Franklin,DAM
Joseph W Milam ,2008,Franklin,JWM
Annie L Williams,2004,Dinwiddie,ALW
Thomas  Warren,2004,Dinwiddie,TW
Pamela S Baskervill,2004,Dinwiddie,PSB
James F DAlton ,2004,Dinwiddie,JFD
Thomas  Warren,2008,Dinwiddie,TW
Pamela S Baskervill,2008,Dinwiddie,PSB
James F DAlton ,2008,Dinwiddie,JFD
William N Alexander  ,2010,Franklin,WNA
Joseph W Milam  ,2010,Franklin,JWM
David A Melesco,2010,Franklin,DAM
Charles J Strauss,2010,Franklin,CJS
Colin R Gibb,2009,Giles,CRG
Josiah T Showalter ,2009,Giles,JTS
Brett L Geisler,2009,Giles,BLG
Ray Wilson Grubbs,2009,Giles,RWG
Robert M D Turk,2009,Giles,RMDT
Annie L Williams,2004,Dinwiddie,ALW
Thomas  Warren,2004,Dinwiddie,TW
Pamela S Baskervill,2004,Dinwiddie,PSB
James F DAlton ,2004,Dinwiddie,JFD
Thomas  Warren  ,2010,Dinwiddie,TW
Pamela S Baskervill,2010,Dinwiddie,PSB
James F DAlton ,2010,Dinwiddie,JFD
Alice Hall,2004,Franklin,AH
William N Alexander ,2004,Franklin,WNA
Charles J Strauss,2004,Franklin,CJS
Joseph W Milam ,2004,Franklin,JWM
Scarlet B Ratcliffe,2004,Giles,SBR
Colin R Gibb,2004,Giles,CRG
Ray Wilson Grubbs,2004,Giles,RWG
J Colin Campbell Sr,2004,Giles,JCCS
Brett L Geisler,2004,Giles,BLG
Robert M D Turk,2004,Giles,RMDT
Colin R Gibb  ,2011,Giles,CRG
Brett L Geisler,2011,Giles,BLG
Josiah T Showalter ,2011,Giles,JTS
Robert M D Turk,2011,Giles,RMDT
James F DAlton  ,2011,Dinwiddie,JFD
Pamela S Baskervill,2011,Dinwiddie,PSB
William N Alexander  ,2011,Franklin,WNA
Joseph W Milam  ,2011,Franklin,JWM
David A Melesco,2011,Franklin,DAM
Charles J Strauss,2011,Franklin,CJS
Annie L Williams,2004,Dinwiddie,ALW
