Judge,Year,Court
Hon. James W. Updike Jr.~,2005,Bedford Circuit Court
Hon. J. Michael Gamble*,2005,Bedford Circuit Court
Hon. J. Samuel Johnston Jr.,2005,Bedford Circuit Court
Hon. J. Leyburn Mosby Jr.,2005,Bedford Circuit Court
Hon. Mosby Garland Perrow III,2005,Bedford Circuit Court
Hon. Thomas V. Warren~*,2005,Amelia Circuit Court
Hon. Pamela S. Baskervill,2005,Amelia Circuit Court
Hon. James F. D'Alton Jr.,2005,Amelia Circuit Court
Hon. Larry B. Kirksey~,2005,Bristol Circuit Court
Hon. C. Randall Lowe*,2005,Bristol Circuit Court
Hon. Isaac St. C. Freeman,2005,Bristol Circuit Court
Hon. Paul M. Peatross Jr.~,2005,Albemarle Circuit Court
Hon. Daniel R. Bouton*,2005,Albemarle Circuit Court
Hon. John R. Cullen,2005,Albemarle Circuit Court
Hon. Edward L. Hogshire,2005,Albemarle Circuit Court
Hon. Timothy K. Sanner,2005,Albemarle Circuit Court
Hon. C. Randall Lowe~*,2006,Washington Circuit Court
Hon. Isaac St. C. Freeman,2006,Washington Circuit Court
Hon. Larry B. Kirksey,2006,Washington Circuit Court
Hon. Richard S. Blanton~,2005,Buckingham Circuit Court
Hon. William L. Wellons*,2005,Buckingham Circuit Court
Hon. Leslie M. Osborn,2005,Buckingham Circuit Court
Hon. J. Colin Campbell Sr.~*,2005,Wythe Circuit Court
Hon. Brett L. Geisler,2005,Wythe Circuit Court
Hon. Colin R. Gibb,2005,Wythe Circuit Court
Hon. Ray Wilson Grubbs,2005,Wythe Circuit Court
Hon. Robert M. D. Turk,2005,Wythe Circuit Court
Hon. James W. Updike Jr.~,2006,Bedford Circuit Court
Hon. J. Michael Gamble*,2006,Bedford Circuit Court
Hon. J. Samuel Johnston Jr.,2006,Bedford Circuit Court
Hon. J. Leyburn Mosby Jr.,2006,Bedford Circuit Court
Hon. Mosby Garland Perrow III,2006,Bedford Circuit Court
Hon. Thomas V. Warren~*,2006,Amelia Circuit Court
Hon. Pamela S. Baskervill,2006,Amelia Circuit Court
Hon. James F. D'Alton Jr.,2006,Amelia Circuit Court
Hon. Paul M. Peatross Jr.~*,2006,Albemarle Circuit Court
Hon. Daniel R. Bouton,2006,Albemarle Circuit Court
Hon. John R. Cullen,2006,Albemarle Circuit Court
Hon. Edward L. Hogshire,2006,Albemarle Circuit Court
Hon. Timothy K. Sanner,2006,Albemarle Circuit Court
Hon. Larry B. Kirksey~,2006,Bristol Circuit Court
Hon. C. Randall Lowe*,2006,Bristol Circuit Court
Hon. Isaac St. C. Freeman,2006,Bristol Circuit Court
Hon. Richard S. Blanton~,2006,Buckingham Circuit Court
Hon. William L. Wellons*,2006,Buckingham Circuit Court
Hon. Leslie M. Osborn,2006,Buckingham Circuit Court
Hon. C. Randall Lowe~*,2007,Washington Circuit Court
Hon. Isaac St. C. Freeman,2007,Washington Circuit Court
Hon. Larry B. Kirksey,2007,Washington Circuit Court
Hon. Samuel T. Powell III~*,2005,Williamsburg/James City County Circuit Court
Hon. Thomas B. Hoover,2005,Williamsburg/James City County Circuit Court
Hon. William H. Shaw III,2005,Williamsburg/James City County Circuit Court
Hon. N. Prentis Smiley Jr.,2005,Williamsburg/James City County Circuit Court
