Judge,Title,Initials
 G Steven Agee,Hon,GSA
 Leslie M Alden,Hon,LMA
 John Richard Alderman,Hon,JRA
 William N Alexander ,Hon,WNA
 Michael Coghlan Allen,Hon,MCA
 James F Almand,Hon,JFA
 Joanne F Alper,Hon,JFA
 Rossie D Alston ,Hon,RDA
 Thomas M Ammons ,Hon,TMA
 William Chapman Andrews ,Hon,WCA
 Rosemarie P Annunziata,Hon,RPA
 Jonathan M Apgar,Hon,JMA
 R Morgan Armstrong,Hon,RMA
 sabel Hall Atlee,Hon,sHA
 Daniel T Balfour,Hon,DTB
 Rufus A Banks ,Hon,RAB
 William G Barkley,Hon,WGB
 Pamela S Baskervill,Hon,PSB
 J Martin Bass,Hon,JMB
 David H Beck,Hon,DHB
 William Alan Becker,Hon,WAB
 Randy  Bellows,Hon,RB
 Ronald Everett Bensten,Hon,REB
 James W Benton ,Hon,JWB
 Edward DeJarnette Berry,Hon,EDB
 Garland L Bigley,Hon,GLB
 Harold A Black,Hon,HAB
 Richard S Blanton,Hon,RSB
 Randall M Blow,Hon,RMB
 Joseph Phillips Bounds,Hon,JPB
 Daniel R Bouton,Hon,DRB
 H Harrison Braxton ,Hon,HHB
 Janice Justina Brice,Hon,JJB
 Lynn S Brice,Hon,LSB
 William D Broadhurst,Hon,WDB
 Deborah  Bryan,Hon,DB
 J Stephen Buis,Hon,JSB
 Rudolph Bumgardner ,Hon,RB
 Harold W Burgess ,Hon,HWB
 Francis W Burkart ,Hon,FWB
 R Edwin Burnette ,Hon,REB
 Theodore J Burr ,Hon,TJB
 James A Cales ,Hon,JAC
 J Colin Campbell Sr,Hon,JCCS
 Louis K Campbell,Hon,LKC
 Samuel E Campbell,Hon,SEC
 Andrew Joseph Canada ,Hon,AJC
 Julia Taylor Cannon,Hon,JTC
 M Randolph Carlson ,Hon,MRC
 Edward K Carpenter,Hon,EKC
 Gayl Branum Carr,Hon,GBC
 Harry L Carrico,Hon,HLC
 Lucretia A Carrico,Hon,LAC
 Robert R Carter,Hon,RRC
 Michael Joseph Cassidy,Hon,MJC
 Bradley B Cavedo,Hon,BBC
 Teresa M Chafin,Hon,TMC
 James H Chamblin,Hon,JHC
 David Eugene Cheek Sr,Hon,DECS
 Howard Lee Chitwood,Hon,HLC
 Martin F Clark ,Hon,MFC
 Dorothy H Clarke,Hon,DHC
 Joseph M Clarke ,Hon,JMC
 Jean Harrison Clements,Hon,JHC
 irginia Ladd Cochran,Hon,iLC
 Sam W Coleman ,Hon,SWC
 Frederick H Combs,Hon,FHC
 A Christian Compton,Hon,ACC
 H incent Conway ,Hon,HiC
 Frederick Hillary Creekmore Sr,Hon,FHCS
 Joel Pierson Crowe,Hon,JPC
 Jesse C Crumbley ,Hon,JCC
 John R Cullen,Hon,JRC
 Joel C Cunningham,Hon,JCC
 James F D Alton ,Hon,JFDA
 Philip  Daffron,Hon,PD
 Kimberly J Daniel,Hon,KJD
 Bonnie C Davis,Hon,BCD
 J Maston Davis,Hon,JMD
 Mark S Davis,Hon,MSD
 Stewart P Davis,Hon,SPD
 Nolan Boyd Dawkins,Hon,NBD
 Susan N Deatherage,Hon,SND
 Jane Pritchard Delbridge,Hon,JPD
 Rodham T Delk ,Hon,RTD
 Ray Wilbur Dezern ,Hon,RWD
 Robert P Doherty ,Hon,RPD
 Charles N Dorsey,Hon,CND
 Robert H Downer ,Hon,RHD
 Jay Edward Dugger,Hon,JED
 Randal J Duncan,Hon,RJD
 Marvin H Dunkum,Hon,MHD
 Nelson T Durden,Hon,NTD
 Carl Edward Eason ,Hon,CEE
 Robert B Edwards,Hon,RBE
 Larry G Elder,Hon,LGE
 Archie Elliott ,Hon,AE
 Joseph J Ellis,Hon,JJE
 Dudley J Emick ,Hon,DJE
 George C Fairbanks ,Hon,GCF
 John M Farmer,Hon,JMF
 Kenneth W Farrar,Hon,KWF
 Lon Edward Farris,Hon,LEF
 Walter S Felton ,Hon,WSF
 John B Ferguson,Hon,JBF
 Anita D Filson,Hon,ADF
 Gaylord L Finch ,Hon,GLF
 Timothy S Fisher,Hon,TSF
 Johanna L Fitzpatrick,Hon,JLF
 Charles B Foley,Hon,CBF
  Thomas Forehand ,Hon,TF
 Aundria Deloris Foster,Hon,ADF
 Robert P Frank,Hon,RPF
 Humes J Franklin ,Hon,HJF
 saac St C Freeman,Hon,sSCF
 Junius P Fulton ,Hon,JPF
 Suzanne Kuczko Fulton,Hon,SKF
 Barbara J Gaden,Hon,BJG
 Thomas E Gallahue,Hon,TEG
 J Michael Gamble,Hon,JMG
 John A Garrett,Hon,JAG
 Brett L Geisler,Hon,BLG
 E Robert Giammittorio,Hon,ERG
 Colin R Gibb,Hon,CRG
 Herbert Cogbill Gill ,Hon,HCG
 Larry E Gilman,Hon,LEG
 Paul F Gluchowski,Hon,PFG
 S Bernard Goodwyn,Hon,SBG
 G Carter Greer,Hon,GCG
 Charles D Griffith ,Hon,CDG
 Teena D Grodner,Hon,TDG
 Ray Wilson Grubbs,Hon,RWG
 Donald M Haddock,Hon,DMH
 James W Haley ,Hon,JWH
 William D Hamblen,Hon,WDH
 Catherine C Hammond,Hon,CCH
 Edward W Hanson ,Hon,EWH
 George W Harris ,Hon,GWH
 Lee A Harris ,Hon,LAH
 G Blair Harry,Hon,GBH
 Leroy Rountree Hassell Sr,Hon,LRHS
 Timothy J Hauler,Hon,TJH
 William O Hawkins,Hon,WOH
 William D Heatwole,Hon,WDH
 Jerry Hendrick ,Hon,JH
 Karen A Henenberg,Hon,KAH
 Gary A Hicks,Hon,GAH
 Marvin C Hillsman ,Hon,MCH
 William H Hodges,Hon,WHH
 Edward L Hogshire,Hon,ELH
 Anne B Holton,Hon,ABH
 Thomas B Hoover,Hon,TBH
 Thomas D Horne,Hon,TDH
 W Dale Houff,Hon,WDH
 Edward Lewis Hubbard,Hon,ELH
 W Edward Hudgins ,Hon,WEH
 Melvin R Hughes ,Hon,MRH
 James E Hume,Hon,JEH
 Robert J Humphreys,Hon,RJH
 Dennis Lee Hupp,Hon,DLH
 Pamela E Hutchens,Hon,PEH
 Christopher W Hutton,Hon,CWH
 Michael S rvine,Hon,MSr
 Gwendolyn J Jackson,Hon,GJJ
 Avelina S Jacob,Hon,ASJ
 Jerome James,Hon,JJ
 Birdie Hairston Jamison,Hon,BHJ
 Lawrence Janow,Hon,LJ
 C N Jenkins ,Hon,CNJ
 Dwight D Johnson,Hon,DDJ
 Patrick Reynolds Johnson,Hon,PRJ
 Randall G Johnson,Hon,RGJ
 J Samuel Johnston ,Hon,JSJ
 Bonnie L Jones,Hon,BLJ
 George A Jones ,Hon,GAJ
 Thomas O Jones,Hon,TOJ
 Barbara Milano Keenan,Hon,BMK
 M Langhorne Keith,Hon,MLK
 Elizabeth Kellas,Hon,EK
 Thomas J Kelley ,Hon,TJK
 D Arthur Kelsey,Hon,DAK
 Lisa Bondareff Kemler,Hon,LBK
 Benjamin N A Kendrick,Hon,BNAK
 John C Kilgore,Hon,JCK
 Colleen K Killilea,Hon,CKK
 Cynthia D Kinser,Hon,CDK
 Larry B Kirksey,Hon,LBK
 Stanley P Klein,Hon,SPK
 Judith Anne Kline,Hon,JAK
 John E Kloch,Hon,JEK
 C Edward Knight ,Hon,CEK
 Lawrence L Koontz ,Hon,LLK
 Bruce H Kushner,Hon,BHK
 Elizabeth B Lacy,Hon,EBL
 James  Lane,Hon,JL
 Robert D Laney,Hon,RDL
 Joseph A Leafe,Hon,JAL
 William H Ledbetter ,Hon,WHL
 Donald W Lemons,Hon,DWL
 Louis R Lerner,Hon,LRL
 R Larry Lewis,Hon,RLL
 William R Light,Hon,WRL
 incent Austin Lilley,Hon,iAL
 Charles F Lincoln,Hon,CFL
 William H Logan ,Hon,WHL
 Eugene E Lohman,Hon,EEL
 R Bruce Long,Hon,RBL
 C Randall Lowe,Hon,CRL
 Frederick B Lowe,Hon,FBL
 ictor  Ludwig,Hon,iL
 Esther Wiggins Lyles,Hon,EWL
 Kathleen H MacKay,Hon,KHM
 Stephen C Mahan,Hon,SCM
 Theodore J Markow,Hon,TJM
 Ronald Harris Marks,Hon,RHM
 Everett Armstrong Martin ,Hon,EAM
 George Mason ,Hon,GM
 Joseph P Massey,Hon,JPM
 Alfred O Masters ,Hon,AOM
 James S Mathews,Hon,JSM
 Charles James Maxfield,Hon,CJM
 Burke F McCahill,Hon,BFM
 Elizabeth A McClanahan,Hon,EAM
 Teresa N McCrimmon,Hon,TNM
 Richard J McCue,Hon,RJM
 Donald Patrick McDonough,Hon,DPM
 John J McGrath ,Hon,JJM
 A Lee McGratty,Hon,ALM
 Michael P McWeeny,Hon,MPM
 David A Melesco,Hon,DAM
 Joseph W Milam ,Hon,JWM
 B Bryan Milbourne,Hon,BBM
 Burnett Miller ,Hon,BM
 Leroy Francis Millette ,Hon,LFM
 Gary A Mills,Hon,GAM
 William J Minor ,Hon,WJM
 John Gregory Mooney,Hon,JGM
 Becky J Moore,Hon,BJM
 James A Moore,Hon,JAM
 Michael Lee Moore,Hon,MLM
 William R Moore ,Hon,WRM
 William S Moore ,Hon,WSM
 Stacey W Moreau,Hon,SWM
 S Lee Morris,Hon,SLM
 John C Morrison ,Hon,JCM
 Johnny E Morrison,Hon,JEM
 Norman de Morrison,Hon,NdM
 Roger L Morton,Hon,RLM
 J Leyburn Mosby ,Hon,JLM
 Thomas Leroy Murphey,Hon,TLM
 Mitchell  Mutnick,Hon,MM
 S Anderson Nelson,Hon,SAN
 William T Newman ,Hon,WTN
 R Terrence Ney,Hon,RTN
 Kenneth Wilson Nye,Hon,KWN
 Mary Grace O Brien,Hon,MGOB
 Kimberly B O Donnell,Hon,KBOD
 an Michael O Flaherty,Hon,aMOF
 Eileen Anita Olds,Hon,EAO
 Leslie M Osborn,Hon,LMO
 Nelson T Overton,Hon,NTO
 Anna Elisabeth Oxenham,Hon,AEO
 H Thomas Padrick ,Hon,HTP
 J Larry Palmer,Hon,JLP
 Jeffrey W Parker,Hon,JWP
 Westbrook J Parker,Hon,WJP
 Albert W Patrick ,Hon,AWP
 John A Paul,Hon,JAP
 Deborah M Paxson,Hon,DMP
 H Dudley Payne ,Hon,HDP
 Paul M Peatross ,Hon,PMP
 Charles A Perkinson ,Hon,CAP
 Mosby Garland Perrow ,Hon,MGP
 David F Peterson,Hon,DFP
 Robert B Phillips,Hon,RBP
 Gammiel Gray Poindexter,Hon,GGP
 Charles Evans Poston,Hon,CEP
 Richard Bowen Potter,Hon,RBP
 Cleo E Powell,Hon,CEP
 Samuel T Powell ,Hon,STP
 John R Prosser,Hon,JRP
 David F Pugh,Hon,DFP
 Robert A Pustilnik,Hon,RAP
 John C Quigley ,Hon,JCQ
 Michael Miller Rand,Hon,MMR
 Julian H Raney ,Hon,JHR
 Deborah L Rawls,Hon,DLR
 Merlin M Renne,Hon,MMR
 Horace A Revercomb ,Hon,HAR
 Stephen W Rideout,Hon,SWR
 Edward A Robbins ,Hon,EAR
 Angela Edwards Roberts,Hon,AER
 James Bailey Robeson,Hon,JBR
 Frederick Gore Rockwell ,Hon,FGR
 Alan E Rosenblatt,Hon,AER
 Jane Marum Roush,Hon,JMR
 Gregory L Rupe,Hon,GLR
 Charles S Russell,Hon,CSR
 Timothy K Sanner,Hon,TKS
 Gordon F Saunders,Hon,GFS
 David Stanford Schell,Hon,DSS
 John W Scott ,Hon,JWS
 Birg E Sergent,Hon,BES
 Joseph Michael Serkes,Hon,JMS
 Thomas S Shadrick,Hon,TSS
 William W Sharp,Hon,WWS
 W Allan Sharrett,Hon,WAS
 William H Shaw ,Hon,WHS
 Louis Allen Sherman,Hon,LAS
 A Bonwill Shockley,Hon,ABS
 James Michael Shull,Hon,JMS
 Charles F Sievers,Hon,CFS
 Mark C Simmons,Hon,MCS
 Ann Hunter Simpson,Hon,AHS
 Robert L Simpson ,Hon,RLS
 Joan C Skeppstrom,Hon,JCS
 Lorraine Nordlund Skipper,Hon,LNS
 N Prentis Smiley ,Hon,NPS
 Dennis J Smith,Hon,DJS
 James H Smith,Hon,JHS
 Robert J Smith,Hon,RJS
 Beverly W Snukals,Hon,BWS
 Denis F Soden,Hon,DFS
 Frank W Somerville,Hon,FWS
 alentine W Southall ,Hon,aWS
 Margaret Poles Spencer,Hon,MPS
 Peter W Steketee,Hon,PWS
 Roscoe B Stephenson ,Hon,RBS
 John R Stevens,Hon,JRS
 L Neil Steverson,Hon,LNS
 M Lee Stilwell ,Hon,MLS
 David T Stitt,Hon,DTS
 Charles M Stone,Hon,CMS
 Walter W Stout ,Hon,WWS
 Charles J Strauss,Hon,CJS
 J Robert Stump,Hon,JRS
 Bryant L Sugg,Hon,BLS
 James R Swanson,Hon,JRS
 Dean W Sword ,Hon,DWS
 Jacqueline F Ward Talevi,Hon,JFWT
 Harry T Taliaferro ,Hon,HTT
 Alfreda Talton Harris,Hon,ATH
 Joseph S Tate,Hon,JST
 Joi Jeter Taylor,Hon,JJT
 Lydia Calvert Taylor,Hon,LCT
 Ramona D Taylor,Hon,RDT
 Richard D Taylor ,Hon,RDT
 Wilford Taylor ,Hon,WT
 C Peter Tench,Hon,CPT
 Jonathan C Thacher,Hon,JCT
 Norman A Thomas,Hon,NAT
 James L Tompkins ,Hon,JLT
 Winship C Tower,Hon,WCT
 Wenda Kavanagh Travers,Hon,WKT
 Peter L Trible,Hon,PLT
 Alfred M Tripp,Hon,AMT
 Philip Trompeter,Hon,PT
 Malfourd W  Bo Trumbo,Hon,MWBT
 Paul A Tucker,Hon,PAT
 Robert M D Turk,Hon,RMDT
 Edward M Turner ,Hon,EMT
 Glen Allen Tyler,Hon,GAT
