Judge,Year,Court
,2005,Unknown
Hon G. Steven Agee,2005,Supreme Court of Virginia
Hon Leslie M. Alden,2005,4110 Chain Bridge Road
Hon John Richard Alderman,2005,P. O. Box 39
Hon William N. Alexander II,2005,P.O. Box 601
Hon Michael Coghlan Allen,2005,P. O. Box 125
Hon James F. Almand,2005,1425 North Courthouse Road
Hon Joanne F. Alper,2005,1425 North Courthouse Road
Hon Rossie D. Alston Jr.,2005,Circuit Court Chambers
Hon Thomas M. Ammons III,2005,2425 Nimmo Parkway
Hon William Chapman Andrews III,2005,P. O. Box 40
Hon Rosemarie P. Annunziata,2005,Court of Appeals of Virginia
Hon Jonathan M. Apgar,2005,P.O. Box 211
Hon R. Morgan Armstrong,2005,3160 Kings Mountain Road
Hon Isabel Hall Atlee,2005,P. O. Box 630
Hon Daniel T. Balfour,2005,P. O. Box 27032
Hon Rufus A. Banks Jr.,2005,301 Albemarle Drive
Hon William G. Barkley,2005,"501 E. Jefferson Street, Suite 138"
Hon Pamela S. Baskervill,2005,7 Courthouse Avenue
Hon J. Martin Bass,2005,P. O. Box 400
Hon David H. Beck,2005,P. O. Box 400
Hon William Alan Becker,2005,9311 Lee Avenue
Hon Randy I. Bellows,2005,4110 Chain Bridge Road
Hon Ronald Everett Bensten,2005,2501 Huntington Avenue
Hon James W. Benton Jr.,2005,Court of Appeals of Virginia
Hon Edward DeJarnette Berry,2005,350 Park Street
Hon Garland L. Bigley,2005,P. O. Box 188
Hon Harold A. Black,2005,"123 East Main Street, Suite 202"
Hon Richard S. Blanton,2005,P.O. Box 351
Hon Randall M. Blow,2005,"2425 Nimmo Parkway, Building 10"
Hon Joseph Phillips Bounds,2005,315 W. Church Ave. S.W.
Hon Daniel R. Bouton,2005,P. O. Box 230
Hon H. Harrison Braxton Jr.,2005,P. O. Box 940
Hon Janice Justina Brice,2005,9311 Lee Avenue
Hon Lynn S. Brice,2005,P.O. Box 520
Hon William D. Broadhurst,2005,P.O. Box 211
Hon Deborah V. Bryan,2005,"2425 Nimmo Parkway, Building 10"
Hon J. Stephen Buis,2005,Oliver Hill Courts Building
Hon Rudolph Bumgardner III,2005,Court of Appeals of Virginia
Hon Harold W. Burgess Jr.,2005,P.O. Box 520
Hon Francis W. Burkart III,2005,315 W. Church Ave. S.W.
Hon R. Edwin Burnette Jr.,2005,905 Court Street
Hon Theodore J. Burr Jr.,2005,315 South Main Street
Hon James A. Cales Jr.,2005,P. O. Box 1217
Hon J. Colin Campbell Sr.,2005,P.O. Box 128
Hon Louis K. Campbell,2005,P. O. Box 858
Hon Samuel E. Campbell,2005,P.O. Box 280
Hon Andrew Joseph Canada Jr.,2005,2425 Nimmo Parkway
Hon Julia Taylor Cannon,2005,18 East Market Street
Hon M. Randolph Carlson II,2005,800 East City Hall Avenue
Hon Edward K. Carpenter,2005,P. O. Box 47
Hon Gayl Branum Carr,2005,4000 Chain Bridge Road
Hon Harry L. Carrico,2005,Supreme Court of Virginia
Hon Lucretia A. Carrico,2005,35 East Tabb Street
Hon Robert R. Carter,2005,307 Albemarle Drive
Hon Michael Joseph Cassidy,2005,4110 Chain Bridge Road
Hon Bradley B. Cavedo,2005,400 North Ninth Street
Hon Teresa M. Chafin,2005,P. O. Box 65
Hon James H. Chamblin,2005,P. O. Box 550
Hon David Eugene Cheek Sr.,2005,"Safety, Health & Welfare Bldg"
Hon Howard Lee Chitwood,2005,"45 Third Street, N.W."
Hon Martin F. Clark Jr.,2005,P.O. Box 762
Hon Dorothy H. Clarke,2005,1425 North Courthouse Road
