Judge,Year
Hon. Glen Allen Tyler~,2005
Hon. Thomas S. Shadrick*,2005
Hon. Andrew Joseph Canada Jr.,2005
Hon. Edward W. Hanson Jr.,2005
Hon. Frederick B. Lowe,2005
Hon. Stephen C. Mahan,2005
Hon. William R. O'Brien,2005
Hon. Henry Thomas Padrick Jr.,2005
Hon. A. Bonwill Shockley,2005
Hon. Patricia L. West,2005
Hon. Glen Allen Tyler~,2006
Hon. Thomas S. Shadrick*,2006
Hon. Andrew Joseph Canada Jr.,2006
Hon. Edward W. Hanson Jr.,2006
Hon. Frederick B. Lowe,2006
Hon. Stephen C. Mahan,2006
Hon. William R. O'Brien,2006
Hon. H. Thomas Padrick Jr.,2006
Hon. A. Bonwill Shockley,2006
Hon. Patricia L. West,2006
Hon. Glen Allen Tyler~,2007
Hon. Thomas S. Shadrick*,2007
Hon. Andrew Joseph Canada Jr.,2007
Hon. Edward W. Hanson Jr.,2007
Hon. Frederick B. Lowe,2007
Hon. Stephen C. Mahan,2007
Hon. William R. O'Brien,2007
Hon. H. Thomas Padrick Jr.,2007
Hon. A. Bonwill Shockley,2007
Hon. Patricia L. West,2007
Hon. Glen A. Tyler~,2008
Hon. Frederick B. Lowe*,2008
Hon. A. Joseph Canada Jr.,2008
Hon. Edward W. Hanson Jr.,2008
Hon. Stephen C. Mahan,2008
Hon. William R. O'Brien,2008
Hon. H. Thomas Padrick Jr.,2008
Hon. A. Bonwill Shockley,2008
Hon. Patricia L. West,2008
"Hon. Glen A. Tyler, Presiding Judge",2010
"Hon. Frederick B. Lowe, Chief Judge",2010
Hon. Edward W. Hanson Jr.,2010
Hon. Leslie L. Lilley,2010
Hon. Stephen C. Mahan,2010
Hon. William R. O'Brien,2010
Hon. H. Thomas Padrick Jr.,2010
Hon. A. Bonwill Shockley,2010
Hon. Patricia L. West,2010
"Hon. Frederick B. Lowe, Chief Judge",2011
Hon. Edward W. Hanson Jr.,2011
Hon. Leslie L. Lilley,2011
Hon. Stephen C. Mahan,2011
Hon. William R. O'Brien,2011
Hon. H. Thomas Padrick Jr.,2011
Hon. A. Bonwill Shockley,2011
Hon. Patricia L. West,2011
"Hon. Edward W. Hanson Jr., Chief Judge",2012
Hon. Glenn R. Croshaw,2012
Hon. W. Revell Lewis III,2012
Hon. Leslie L. Lilley,2012
Hon. Stephen C. Mahan,2012
Hon. William R. O'Brien,2012
Hon. H. Thomas Padrick Jr.,2012
Hon. A. Bonwill Shockley,2012
Hon. Patricia L. West,2012
"Hon. Edward W. Hanson Jr., Chief Judge",2013
Hon. Glenn R. Croshaw,2013
Hon. W. Revell Lewis III,2013
Hon. Leslie L. Lilley,2013
Hon. Stephen C. Mahan,2013
Hon. William R. O'Brien,2013
Hon. H. Thomas Padrick Jr.,2013
Hon. A. Bonwill Shockley,2013
"Hon. Edward W. Hanson Jr., Chief Judge",2014
Hon. Glenn R. Croshaw,2014
Hon. Steven C. Frucci,2014
Hon. W. Revell Lewis III,2014
Hon. Leslie L. Lilley,2014
Hon. Stephen C. Mahan,2014
Hon. William R. O'Brien,2014
Hon. H. Thomas Padrick Jr.,2014
Hon. A. Bonwill Shockley,2014
"Hon. William R. O'Brien, Chief Judge",2015
Hon. Glenn R. Croshaw,2015
Hon. Steven C. Frucci,2015
Hon. W. Revell Lewis III,2015
Hon. James Clayton Lewis,2015
Hon. Leslie L. Lilley,2015
Hon. Stephen C. Mahan,2015
Hon. H. Thomas Padrick Jr.,2015
Hon. A. Bonwill Shockley,2015
"Hon. William R. O'Brien, Chief Judge",2016
Hon. Glenn R. Croshaw,2016
Hon. Steven C. Frucci,2016
Hon. W. Revell Lewis III,2016
Hon. James Clayton Lewis,2016
Hon. Leslie L. Lilley,2016
Hon. Stephen C. Mahan,2016
Hon. H. Thomas Padrick Jr.,2016
Hon. A. Bonwill Shockley,2016
"Hon. William R. O'Brien, Chief Judge",2017
Hon. Glenn R. Croshaw,2017
Hon. Steven C. Frucci,2017
Hon. W. Revell Lewis III,2017
Hon. James Clayton Lewis,2017
Hon. Leslie L. Lilley,2017
Hon. Stephen C. Mahan,2017
Hon. H. Thomas Padrick Jr.,2017
Hon. A. Bonwill Shockley,2017
"Hon. William R. O'Brien, Chief Judge",2018
Hon. Glenn R. Croshaw,2018
Hon. Steven C. Frucci,2018
Hon. W. Revell Lewis III,2018
Hon. James Clayton Lewis,2018
Hon. Leslie L. Lilley,2018
Hon. Stephen C. Mahan,2018
Hon. H. Thomas Padrick Jr.,2018
Hon. A. Bonwill Shockley,2018
"Hon. Glenn R. Croshaw, Chief Judge",2019
Hon. Steven C. Frucci,2019
Hon. W. Revell Lewis III,2019
Hon. James Clayton Lewis,2019
Hon. Leslie L. Lilley,2019
Hon. Stephen C. Mahan,2019
Hon. H. Thomas Padrick Jr.,2019
Hon. A. Bonwill Shockley,2019
"Hon. Glenn Randall Croshaw, Chief Judge",2020
Hon. Kevin M. Duffan,2020
Hon. Steven C. Frucci,2020
Hon. William Revell Lewis III,2020
Hon. James Clayton Lewis,2020
Hon. Leslie L. Lilley,2020
Hon. Stephen C. Mahan,2020
Hon. Anne Bonwill Shockley,2020
