Judge,Year,Court
Hon Michael D. Wolfe,2002,Alleghany
Hon. Duncan M. Byrd Jr.~*,2002,Alleghany
Hon. Humes J. Franklin Jr.,2002,Alleghany
Hon. George E. Honts III,2002,Alleghany
Hon. Thomas H. Wood,2002,Alleghany
"Hon. C. B. Flannagan, II*~",2001,Bristol
Hon. C. Randall Lowe,2001,Bristol
Hon David A. Bell,2002,Arlington
Hon. Paul F. Sheridan~*,2002,Arlington
Hon. Joanne F. Alper~,2002,Arlington
Hon. Benjamin N. A. Kendrick~,2002,Arlington
Hon. William T. Newman Jr.~,2002,Arlington
Hon. J. F. Ingram*~,2000,Danville
"Hon. W. N. Alexander, II",2000,Danville
Hon. C. J. Strauss,2000,Danville
Hon. T. H. Wood,2000,Clifton Forge
"Hon. D. M. Byrd, Jr.*~",2000,Clifton Forge
"Hon. G. E. Honts, III",2000,Clifton Forge
"Hon. H. J. Franklin, Jr.",2000,Clifton Forge
Hon Lillie M. Hart,2002,Chesapeake
Hon. V. Thomas Forehand Jr.~*,2002,Chesapeake
Hon. Frederick Hillary Creekmore Sr.~,2002,Chesapeake
Hon. Samuel Bernard Goodwyn~,2002,Chesapeake
Hon. Bruce H. Kushner~,2002,Chesapeake
Hon. R. W. Grubbs~,2001,Floyd
Hon. C. R. Gibb,2001,Floyd
Hon. D. E. Mink,2001,Floyd
Hon. J. C. Campbell*,2001,Floyd
Hon. R. M. D. Turk,2001,Floyd
Hon. D. L. Hupp,2001,Frederick
"Hon. J. E. Wetsel, Jr.*",2001,Frederick
Hon. J. R. Prosser~,2001,Frederick
"Hon. J. J. McGrath, Jr.",2001,Frederick
Hon. J. V. Lane,2001,Frederick
Hon. G. F. Tidey*~,2000,Henrico
"Hon. L. A. Harris, Jr.~",2000,Henrico
Hon. C. C. Hammond~,2000,Henrico
Hon. G. A. Hicks~,2000,Henrico
"Hon. W. H. Ledbetter, Jr.",2001,Hanover
"Hon. J. E. Spruill, Jr.",2001,Hanover
"Hon. J. W. Haley, Jr.",2001,Hanover
"Hon. J. W. Scott, Jr.*",2001,Hanover
"Hon. H. A. Revercomb, III",2001,Hanover
Hon. A. H. Simpson,2001,Hanover
Hon. J. R. Alderman~,2001,Hanover
Hon. C. R. Weckstein~,2001,Roanoke City
Hon. D. M. Strickland*,2001,Roanoke City
Hon. R. C. Pattisall~,2001,Roanoke City
"Hon. R. P. Doherty, Jr.~",2001,Roanoke City
Hon. J. M. Apgar~,2001,Roanoke City
Hon. R. B. Willet,2001,Roanoke City
Hon. J. B. Wilkinson,2000,Richmond
Hon. T. N. Nance~,2000,Richmond
"Hon. M. R. Hughes, Jr.~",2000,Richmond
Hon. R. W. Duling~,2000,Richmond
Hon. T. J. Markow~,2000,Richmond
Hon. R. G. Johnson~,2000,Richmond
"Hon. W. W. Stout, III*~",2000,Richmond
Hon. M. P. Spencer~,2000,Richmond
Hon. W. S. Robertson*~,2001,Fauquier
Hon. T. D. Horne,2001,Fauquier
Hon. J. H. Chamblin,2001,Fauquier
Hon. B. F. McCahill,2001,Fauquier
Hon. D. L. Hupp,2001,Rockingham
"Hon. J. E. Wetsel, Jr.*",2001,Rockingham
